Date,log_returns,Open,High,Low,Close
2013/10/31,-0.002779503,3924.34,3945.04,3909.26,3919.71
2013/11/1,0.000594255,3932.45,3938.48,3904.2,3922.04
2013/11/4,0.00370294,3932.6,3937.5,3919.46,3936.59
2013/11/5,0.000830323,3925.06,3947.27,3909.63,3939.86
2013/11/6,-0.002009704,3952.18,3955.97,3920.91,3931.95
2013/11/7,-0.019160252,3935.81,3938.33,3855.07,3857.33
2013/11/8,0.015919972,3871.24,3919.23,3869.12,3919.23
2013/11/11,0.000142875,3913.64,3925.34,3904.72,3919.79
2013/11/12,3.32E-05,3907.82,3922.27,3902.67,3919.92
2013/11/13,0.011578357,3899.38,3965.57,3899.31,3965.57
2013/11/14,0.00180643,3956.47,3975.89,3949.01,3972.74
2013/11/15,0.003324662,3978.27,3985.97,3969.22,3985.97
2013/11/18,-0.009300587,3990.06,3994.97,3942.84,3949.07
2013/11/19,-0.004446358,3945.97,3960.44,3923.47,3931.55
2013/11/20,-0.002618169,3940.98,3952.08,3911.61,3921.27
2013/11/21,0.012138904,3938.11,3970.91,3936.82,3969.16
2013/11/22,0.005650194,3977.31,3991.66,3973,3991.65
2013/11/25,0.00073126,4004.37,4007.09,3987.16,3994.57
2013/11/26,0.005786106,3996.7,4026.99,3989.49,4017.75
2013/11/27,0.006697699,4026.92,4045.81,4023.65,4044.75
2013/11/29,0.003736136,4057.16,4069.7,4055.45,4059.89
2013/12/2,-0.003610054,4065.66,4068.49,4040.88,4045.26
2013/12/3,-0.001994443,4038.99,4050.08,4022.12,4037.2
2013/12/4,0.000198138,4020.33,4051.74,4004.76,4038
2013/12/5,-0.001199332,4037.99,4043.71,4025.26,4033.16
2013/12/6,0.007253283,4069.86,4069.86,4042.35,4062.52
2013/12/9,0.001532356,4073.75,4081.78,4063.49,4068.75
2013/12/10,-0.002032171,4061.17,4074.01,4056.49,4060.49
2013/12/11,-0.014057248,4061.67,4065.08,3998.92,4003.81
2013/12/12,-0.001352127,4004.75,4013.54,3993.57,3998.4
2013/12/13,0.000642551,4015.53,4017.45,3992.29,4000.97
2013/12/16,0.00711043,4019.37,4043,4019.14,4029.52
2013/12/17,-0.001450355,4028.88,4034.69,4011.58,4023.68
2013/12/18,0.011460835,4024.67,4070.38,3979.59,4070.06
2013/12/19,-0.002933001,4059.34,4063.7,4045.41,4058.14
2013/12/20,0.011417663,4064.89,4111.93,4064.73,4104.74
2013/12/23,0.010700835,4136.15,4149.31,4127.72,4148.9
2013/12/24,0.001570267,4150.64,4155.62,4147.15,4155.42
2013/12/26,0.002826042,4164.21,4169.97,4158.59,4167.18
2013/12/27,-0.002544521,4173.36,4175.36,4153.64,4156.59
2013/12/30,-0.000575156,4153.58,4158.73,4142.18,4154.2
2013/12/31,0.005375253,4161.51,4177.73,4160.77,4176.59
2014/1/2,-0.008058065,4160.03,4160.96,4131.79,4143.07
2014/1/3,-0.002697289,4148.56,4152.96,4124.96,4131.91
2014/1/6,-0.004421765,4137.03,4139.78,4103.75,4113.68
2014/1/7,0.009556301,4128.57,4158.18,4126.48,4153.18
2014/1/8,0.002988418,4154.28,4171.75,4145,4165.61
2014/1/9,-0.002263934,4179.04,4182.74,4142.7,4156.19
2014/1/10,0.004434129,4168.94,4174.68,4142.21,4174.66
2014/1/13,-0.014807292,4167.41,4179.47,4097.99,4113.3
2014/1/14,0.016807848,4129.6,4183.84,4125.81,4183.02
2014/1/15,0.007587648,4196.53,4218.79,4195.98,4214.88
2014/1/16,0.000903532,4209.59,4219.28,4204.15,4218.69
2014/1/17,-0.005016485,4207.82,4217.24,4187.31,4197.58
2014/1/21,0.006690958,4222.98,4227.93,4193.17,4225.76
2014/1/22,0.00407144,4234.58,4246.55,4225.52,4243
2014/1/23,-0.005700876,4224.36,4224.44,4192.28,4218.88
2014/1/24,-0.02173548,4194.97,4197.93,4128.17,4128.17
2014/1/27,-0.010852808,4132.22,4136.46,4052.63,4083.61
2014/1/28,0.003507888,4067.86,4099.81,4067.69,4097.96
2014/1/29,-0.011419384,4060.61,4091.27,4044.76,4051.43
2014/1/30,0.017540253,4098.81,4135.84,4094.17,4123.12
2014/1/31,-0.004677291,4068.63,4124.92,4067.61,4103.88
2014/2/3,-0.026398796,4105.06,4113.55,3989.95,3996.96
2014/2/4,0.008609404,4019.44,4044.2,4004.58,4031.52
2014/2/5,-0.004965776,4015.5,4026.28,3968.19,4011.55
2014/2/6,0.011295662,4022.66,4064.06,4022.17,4057.12
2014/2/7,0.016801121,4081.82,4126.51,4069.93,4125.86
2014/2/10,0.00539279,4125.12,4148.3,4122.61,4148.17
2014/2/11,0.010284026,4154.65,4198.51,4153.1,4191.05
2014/2/12,0.002440322,4196.85,4212.61,4190.39,4201.29
2014/2/13,0.009329655,4171.58,4240.67,4170.47,4240.67
2014/2/14,0.000789658,4237,4250.91,4225.75,4244.02
2014/2/18,0.006753736,4253.71,4277.33,4243.56,4272.78
2014/2/19,-0.008185008,4260.74,4274.28,4232.38,4237.95
2014/2/20,0.00696023,4241.46,4272.34,4226.75,4267.55
2014/2/21,-0.000970583,4282.17,4284.85,4261.63,4263.41
2014/2/24,0.006909492,4273.32,4311.12,4272.11,4292.97
2014/2/25,-0.001253998,4298.48,4307.51,4275.8,4287.59
2014/2/26,0.001042001,4300.45,4316.82,4278.53,4292.06
2014/2/27,0.006240882,4291.47,4322.46,4284.78,4318.93
2014/2/28,-0.002506072,4323.52,4342.59,4275.61,4308.12
2014/3/3,-0.007179645,4261.42,4284.15,4239.65,4277.3
2014/3/4,0.017306647,4327.85,4357.21,4327.53,4351.97
2014/3/5,0.001377736,4352.76,4362.5,4344.15,4357.97
2014/3/6,-0.00134327,4368.81,4371.71,4341,4352.12
2014/3/7,-0.003660082,4370.98,4371.39,4319.15,4336.22
2014/3/10,-0.000408273,4332.62,4339.93,4307.84,4334.45
2014/3/11,-0.006309009,4342.93,4354.43,4295.47,4307.19
2014/3/12,0.003740219,4288.6,4323.33,4270.22,4323.33
2014/3/13,-0.014658192,4338.26,4339.9,4242.94,4260.42
2014/3/14,-0.003531703,4250.45,4272.34,4241.94,4245.4
2014/3/17,0.008105283,4274.22,4301.28,4273.01,4279.95
2014/3/18,0.012390357,4286.22,4334.66,4284.11,4333.31
2014/3/19,-0.00595078,4331.46,4334.3,4283.53,4307.6
2014/3/20,0.002710132,4297.99,4329.61,4287.41,4319.29
2014/3/21,-0.009888309,4339.9,4344.39,4268.34,4276.79
2014/3/24,-0.011854527,4289.49,4289.49,4190.61,4226.39
2014/3/25,0.001862739,4252.65,4274.32,4203.64,4234.27
2014/3/26,-0.014436759,4254.98,4263.07,4173.58,4173.58
2014/3/27,-0.005369505,4169.35,4186.12,4131.81,4151.23
2014/3/28,0.001090648,4163.18,4203.49,4144.69,4155.76
2014/3/31,0.010348696,4185.62,4212.97,4180.54,4198.99
2014/4/1,0.016310685,4219.87,4268.2,4218.77,4268.04
2014/4/2,0.001970859,4281.61,4286.09,4258.86,4276.46
2014/4/3,-0.009095456,4282.18,4284.69,4216.57,4237.74
2014/4/4,-0.026302489,4263.94,4267.06,4118.71,4127.73
2014/4/7,-0.011691907,4110.92,4133.68,4052.14,4079.75
2014/4/8,0.008114546,4085.18,4120.24,4066.11,4112.99
2014/4/9,0.017093568,4129.63,4185.19,4121.17,4183.9
2014/4/10,-0.031512645,4181.21,4182.61,4042.76,4054.11
2014/4/11,-0.013504323,4015.07,4067.22,3991.64,3999.73
2014/4/14,0.005723974,4038.06,4050.79,3986.5,4022.69
2014/4/15,0.002847269,4032.63,4054.8,3946.03,4034.16
2014/4/16,0.012822236,4066.82,4086.28,4038.81,4086.22
2014/4/17,0.002273356,4080.3,4110.46,4064.7,4095.52
2014/4/21,0.006335613,4105.36,4121.55,4081.91,4121.55
2014/4/22,0.009636668,4132.06,4170.72,4131.61,4161.46
2014/4/23,-0.008322493,4160.9,4161.44,4125.41,4126.97
2014/4/24,0.005164773,4174.61,4177.16,4107.52,4148.34
