date,close,open,high,low,vol,return
2010/12/28,11575.54 ,11554.80 ,11591.13 ,11541.14 ,114.10M,0.0018 
2010/12/29,11585.38 ,11572.74 ,11625.00 ,11572.66 ,77.80M,0.0009 
2010/12/30,11569.71 ,11585.30 ,11594.38 ,11551.93 ,76.82M,-0.0014 
2010/12/31,11577.51 ,11569.33 ,11597.41 ,11530.32 ,93.33M,0.0007 
2011/1/3,11670.75 ,11577.43 ,11711.47 ,11577.35 ,203.42M,0.0081 
2011/1/4,11691.18 ,11670.90 ,11698.22 ,11635.74 ,178.63M,0.0018 
2011/1/5,11722.89 ,11688.61 ,11742.68 ,11652.89 ,169.99M,0.0027 
2011/1/6,11697.31 ,11716.93 ,11736.74 ,11667.46 ,193.08M,-0.0022 
2011/1/7,11674.76 ,11696.86 ,11726.94 ,11599.68 ,188.72M,-0.0019 
2011/1/10,11637.45 ,11672.34 ,11677.33 ,11573.87 ,150.34M,-0.0032 
2011/1/11,11671.88 ,11638.51 ,11704.12 ,11635.48 ,157.44M,0.0030 
2011/1/12,11755.44 ,11673.62 ,11782.23 ,11673.62 ,144.96M,0.0072 
2011/1/13,11731.90 ,11753.70 ,11757.25 ,11700.53 ,161.66M,-0.0020 
2011/1/14,11787.38 ,11732.13 ,11794.15 ,11698.83 ,200.77M,0.0047 
2011/1/18,11837.93 ,11783.82 ,11858.78 ,11777.99 ,203.39M,0.0043 
2011/1/19,11825.29 ,11834.21 ,11861.24 ,11798.46 ,166.25M,-0.0011 
2011/1/20,11822.80 ,11823.70 ,11845.16 ,11744.77 ,180.80M,-0.0002 
2011/1/21,11871.84 ,11822.95 ,11905.48 ,11822.80 ,249.48M,0.0041 
2011/1/24,11980.52 ,11873.43 ,11982.94 ,11867.98 ,184.00M,0.0092 
2011/1/25,11977.19 ,11980.52 ,11985.97 ,11898.74 ,191.96M,-0.0003 
2011/1/26,11985.44 ,11978.85 ,12020.52 ,11961.83 ,168.32M,0.0007 
2011/1/27,11989.83 ,11985.36 ,12019.53 ,11971.93 ,167.77M,0.0004 
2011/1/28,11823.70 ,11990.36 ,12012.42 ,11803.04 ,214.17M,-0.0139 
2011/1/31,11891.93 ,11824.39 ,11891.93 ,11817.88 ,206.58M,0.0058 
2011/2/1,12040.16 ,11892.50 ,12050.75 ,11892.50 ,180.89M,0.0125 
2011/2/2,12041.97 ,12038.27 ,12057.91 ,12018.51 ,143.44M,0.0002 
2011/2/3,12062.26 ,12040.68 ,12080.54 ,11981.05 ,143.71M,0.0017 
2011/2/4,12092.15 ,12061.73 ,12092.42 ,12025.78 ,121.78M,0.0025 
2011/2/7,12161.63 ,12092.38 ,12188.76 ,12092.30 ,132.96M,0.0057 
2011/2/8,12233.15 ,12152.70 ,12238.79 ,12150.05 ,126.65M,0.0059 
2011/2/9,12239.89 ,12229.29 ,12254.23 ,12188.19 ,162.91M,0.0006 
2011/2/10,12229.29 ,12239.66 ,12239.66 ,12156.94 ,274.44M,-0.0009 
2011/2/11,12273.26 ,12227.78 ,12285.94 ,12180.48 ,184.29M,0.0036 
2011/2/14,12268.19 ,12266.83 ,12276.21 ,12235.91 ,146.35M,-0.0004 
2011/2/15,12226.64 ,12266.75 ,12267.66 ,12193.27 ,142.58M,-0.0034 
2011/2/16,12288.17 ,12219.79 ,12303.16 ,12219.79 ,146.27M,0.0050 
2011/2/17,12318.14 ,12287.72 ,12331.31 ,12253.24 ,130.86M,0.0024 
2011/2/18,12391.25 ,12318.67 ,12391.29 ,12303.23 ,230.04M,0.0059 
2011/2/22,12212.79 ,12389.74 ,12389.82 ,12176.31 ,201.86M,-0.0144 
2011/2/23,12105.78 ,12211.81 ,12221.12 ,12063.43 ,213.49M,-0.0088 
2011/2/24,12068.50 ,12104.56 ,12129.62 ,11983.17 ,190.86M,-0.0031 
2011/2/25,12130.45 ,12060.93 ,12151.03 ,12060.93 ,147.54M,0.0051 
2011/2/28,12226.34 ,12130.45 ,12235.04 ,12130.15 ,199.56M,0.0079 
2011/3/1,12058.02 ,12226.49 ,12261.38 ,12054.99 ,183.24M,-0.0138 
2011/3/2,12066.80 ,12057.34 ,12115.12 ,12018.63 ,147.27M,0.0007 
2011/3/3,12258.20 ,12068.01 ,12283.10 ,12068.01 ,157.84M,0.0159 
2011/3/4,12169.88 ,12258.88 ,12271.37 ,12079.51 ,166.70M,-0.0072 
2011/3/7,12090.03 ,12171.09 ,12243.44 ,12041.60 ,176.20M,-0.0066 
2011/3/8,12214.38 ,12085.87 ,12251.20 ,12072.21 ,158.61M,0.0103 
2011/3/9,12213.09 ,12211.16 ,12257.82 ,12156.60 ,128.36M,-0.0001 
2011/3/10,11984.61 ,12211.43 ,12211.43 ,11974.39 ,180.66M,-0.0187 
2011/3/11,12044.40 ,11976.96 ,12087.01 ,11936.32 ,143.67M,0.0050 
2011/3/14,11993.16 ,12042.13 ,12042.13 ,11897.31 ,163.00M,-0.0043 
2011/3/15,11855.42 ,11988.69 ,11988.69 ,11696.25 ,221.93M,-0.0115 
2011/3/16,11613.30 ,11854.20 ,11856.70 ,11555.48 ,254.07M,-0.0204 
2011/3/17,11774.59 ,11614.89 ,11800.54 ,11614.82 ,182.26M,0.0139 
2011/3/18,11858.52 ,11777.23 ,11927.09 ,11777.23 ,355.05M,0.0071 
2011/3/21,12036.53 ,11860.11 ,12078.30 ,11860.11 ,143.39M,0.0150 
2011/3/22,12018.63 ,12036.37 ,12050.98 ,12002.85 ,115.66M,-0.0015 
2011/3/23,12086.02 ,12018.40 ,12116.14 ,11972.61 ,133.94M,0.0056 
2011/3/24,12170.56 ,12087.54 ,12191.18 ,12087.54 ,131.61M,0.0070 
2011/3/25,12220.59 ,12170.71 ,12259.79 ,12170.71 ,129.79M,0.0041 
2011/3/28,12197.88 ,12221.19 ,12272.92 ,12197.88 ,123.07M,-0.0019 
2011/3/29,12279.01 ,12194.48 ,12285.41 ,12173.51 ,129.03M,0.0067 
2011/3/30,12350.61 ,12280.07 ,12383.46 ,12280.07 ,140.34M,0.0058 
2011/3/31,12319.73 ,12350.76 ,12381.68 ,12319.01 ,186.14M,-0.0025 
2011/4/1,12376.72 ,12321.02 ,12419.71 ,12321.02 ,147.60M,0.0046 
2011/4/4,12400.03 ,12374.60 ,12407.41 ,12369.15 ,114.66M,0.0019 
2011/4/5,12393.90 ,12402.08 ,12438.14 ,12353.34 ,142.34M,-0.0005 
2011/4/6,12426.75 ,12386.66 ,12450.93 ,12386.66 ,182.35M,0.0027 
2011/4/7,12409.49 ,12426.45 ,12440.56 ,12328.36 ,158.59M,-0.0014 
2011/4/8,12380.05 ,12409.87 ,12450.36 ,12320.72 ,122.82M,-0.0024 
2011/4/11,12381.11 ,12380.43 ,12444.00 ,12352.88 ,109.95M,0.0001 
2011/4/12,12263.58 ,12381.19 ,12381.19 ,12233.00 ,137.26M,-0.0095 
2011/4/13,12270.99 ,12263.65 ,12335.10 ,12224.45 ,118.95M,0.0006 
2011/4/14,12285.15 ,12270.24 ,12305.58 ,12163.86 ,140.67M,0.0012 
2011/4/15,12341.83 ,12285.45 ,12369.27 ,12272.58 ,234.71M,0.0046 
2011/4/18,12201.59 ,12339.71 ,12339.79 ,12093.89 ,190.22M,-0.0114 
2011/4/19,12266.75 ,12201.44 ,12275.34 ,12200.30 ,149.87M,0.0053 
2011/4/20,12453.54 ,12266.75 ,12475.53 ,12263.58 ,203.90M,0.0152 
2011/4/21,12505.99 ,12453.62 ,12506.06 ,12447.56 ,166.64M,0.0042 
2011/4/25,12479.88 ,12505.99 ,12506.22 ,12446.05 ,128.66M,-0.0021 
2011/4/26,12595.37 ,12480.86 ,12613.16 ,12478.14 ,183.98M,0.0093 
2011/4/27,12690.96 ,12592.23 ,12708.37 ,12588.33 ,160.55M,0.0076 
2011/4/28,12763.31 ,12689.90 ,12776.14 ,12674.54 ,148.76M,0.0057 
2011/4/29,12810.54 ,12763.46 ,12832.83 ,12751.13 ,378.62M,0.0037 
2011/5/2,12807.36 ,12810.16 ,12876.00 ,12784.62 ,150.96M,-0.0002 
2011/5/3,12807.51 ,12806.38 ,12840.66 ,12749.99 ,191.51M,0.0000 
2011/5/4,12723.58 ,12806.29 ,12806.68 ,12673.02 ,193.72M,-0.0066 
2011/5/5,12584.17 ,12723.65 ,12724.56 ,12521.28 ,176.95M,-0.0110 
2011/5/6,12638.74 ,12580.76 ,12759.23 ,12579.93 ,168.32M,0.0043 
2011/5/9,12684.68 ,12637.83 ,12722.07 ,12620.20 ,133.94M,0.0036 
2011/5/10,12760.36 ,12685.13 ,12781.06 ,12681.65 ,156.00M,0.0060 
2011/5/11,12630.03 ,12745.87 ,12748.21 ,12577.21 ,200.68M,-0.0102 
2011/5/12,12695.92 ,12629.96 ,12718.58 ,12537.17 ,216.51M,0.0052 
2011/5/13,12595.75 ,12695.65 ,12714.50 ,12543.19 ,169.94M,-0.0079 
2011/5/16,12548.37 ,12594.77 ,12642.90 ,12530.81 ,192.31M,-0.0038 
2011/5/17,12479.58 ,12541.33 ,12541.33 ,12378.84 ,192.83M,-0.0055 
2011/5/18,12560.18 ,12471.78 ,12571.15 ,12443.10 ,175.12M,0.0065 
2011/5/19,12605.32 ,12561.46 ,12633.59 ,12533.46 ,158.47M,0.0036 
2011/5/20,12512.04 ,12604.72 ,12604.83 ,12485.86 ,174.98M,-0.0074 
2011/5/23,12381.26 ,12511.36 ,12511.36 ,12331.77 ,150.72M,-0.0105 
2011/5/24,12356.21 ,12381.57 ,12422.55 ,12350.04 ,145.92M,-0.0020 
2011/5/25,12394.66 ,12355.45 ,12440.03 ,12309.52 ,145.75M,0.0031 
2011/5/26,12402.76 ,12391.63 ,12441.58 ,12317.92 ,149.07M,0.0007 
2011/5/27,12441.58 ,12398.06 ,12483.81 ,12397.69 ,126.03M,0.0031 
2011/5/31,12569.79 ,12443.40 ,12574.29 ,12443.40 ,208.29M,0.0103 
2011/6/1,12290.14 ,12569.41 ,12569.49 ,12282.42 ,183.02M,-0.0222 
2011/6/2,12248.55 ,12289.61 ,12306.71 ,12190.54 ,156.37M,-0.0034 
2011/6/3,12151.26 ,12247.80 ,12247.87 ,12104.03 ,157.74M,-0.0079 
2011/6/6,12089.96 ,12151.19 ,12151.49 ,12070.66 ,166.60M,-0.0050 
2011/6/7,12070.81 ,12090.18 ,12178.89 ,12066.61 ,162.61M,-0.0016 
2011/6/8,12048.94 ,12066.27 ,12098.36 ,12024.26 ,156.87M,-0.0018 
2011/6/9,12124.36 ,12049.47 ,12183.12 ,12049.09 ,149.70M,0.0063 
2011/6/10,11951.91 ,12124.17 ,12124.85 ,11937.42 ,178.31M,-0.0142 
2011/6/13,11952.97 ,11945.33 ,12011.66 ,11917.78 ,153.37M,0.0001 
2011/6/14,12076.11 ,11951.38 ,12120.80 ,11951.38 ,159.62M,0.0103 
2011/6/15,11897.27 ,12075.12 ,12075.20 ,11862.53 ,182.50M,-0.0148 
2011/6/16,11961.52 ,11896.13 ,11990.02 ,11875.77 ,189.50M,0.0054 
2011/6/17,12004.36 ,11962.66 ,12072.89 ,11962.51 ,342.01M,0.0036 
2011/6/20,12080.38 ,12004.28 ,12099.87 ,11971.29 ,127.25M,0.0063 
2011/6/21,12190.01 ,12081.33 ,12217.33 ,12081.18 ,147.57M,0.0091 
2011/6/22,12109.67 ,12189.71 ,12207.99 ,12105.85 ,125.33M,-0.0066 
2011/6/23,12050.00 ,12108.35 ,12108.73 ,11874.94 ,206.76M,-0.0049 
2011/6/24,11934.58 ,12049.24 ,12057.19 ,11925.42 ,279.66M,-0.0096 
2011/6/27,12043.56 ,11934.66 ,12098.81 ,11934.05 ,177.92M,0.0091 
2011/6/28,12188.69 ,12042.28 ,12190.43 ,12042.28 ,135.05M,0.0121 
2011/6/29,12261.42 ,12187.63 ,12284.39 ,12175.86 ,158.72M,0.0060 
2011/6/30,12414.34 ,12262.25 ,12427.09 ,12262.10 ,179.98M,0.0125 
2011/7/1,12582.77 ,12412.07 ,12596.13 ,12404.08 ,141.87M,0.0136 
2011/7/5,12569.87 ,12583.00 ,12601.80 ,12540.58 ,122.99M,-0.0010 
2011/7/6,12626.02 ,12562.47 ,12643.24 ,12539.21 ,132.33M,0.0045 
2011/7/7,12719.49 ,12627.23 ,12753.89 ,12627.23 ,153.74M,0.0074 
