Date,Open,High,Low,Close,QPLp1,QPLp21,QPLn1,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
2013/3/26,3249.95,3252.93,3239.92,3252.48,3257.144636,3918.27264,3242.771256,2695.620232,306.78,0.005296123,0.016678196,-0.214645454,0.295305367,0.729054137,0.487393006
2013/3/27,3230.76,3258.26,3227.02,3256.52,3237.912154,3895.136391,3223.623644,2679.703386,316.13,0.001241358,-0.035612861,0.030022643,0.175641606,0.202606927,0.326990534
2013/3/28,3257.32,3270.3,3253.21,3267.52,3264.530952,3927.158213,3250.124977,2701.733163,423.25,0.003372147,-0.241384809,0.2918095,0.101605447,0.290312357,0.167041629
2013/4/1,3268.63,3270.23,3230.57,3239.17,3275.865989,3940.794012,3261.409994,2711.114066,366.64,-0.008714163,-0.2019354,-0.143582581,0.006168344,-0.256130128,0.356234124
2013/4/2,3252.55,3267.93,3245.41,3254.86,3259.750392,3921.407306,3245.365513,2697.776761,366.75,0.00483214,0.12284232,0.000299977,-0.022478465,0.020666069,0.118508137
2013/4/3,3257.38,3260.15,3210.39,3218.6,3264.591084,3927.230552,3250.184844,2701.782929,440.86,-0.011202782,0.164710501,0.184046948,0.105592668,-0.154880012,0.492080774
2013/4/4,3219.11,3226.24,3206.02,3224.98,3226.236363,3881.090675,3211.999378,2670.040476,354.61,0.001980266,0.054182395,-0.217708771,0.070199272,0.025845118,0.118200326
2013/4/5,3174,3206.21,3168.88,3203.86,3181.0265,3826.704214,3166.98902,2632.624692,400.59,-0.006570416,0.028219017,0.121919866,0.049087999,0.060503966,0.035267763
2013/4/8,3207.15,3222.26,3195.57,3222.25,3214.249887,3866.671209,3200.065796,2660.120441,333.25,0.00572354,0.024926218,-0.184045501,0.144384951,0.067382007,0.412325629
2013/4/9,3229.81,3249.95,3215.02,3237.86,3236.960051,3893.991032,3222.675743,2678.915424,371.76,0.004832744,-0.044670976,0.109355526,0.130758795,0.090390574,0.147964945
2013/4/10,3246.06,3299.16,3245.8,3297.25,3253.246025,3913.582697,3238.889849,2692.393732,420.21,0.01817617,0.098619833,0.122506102,0.135994614,-0.149424035,0.861342572
2013/4/11,3289.59,3306.95,3287.74,3300.16,3296.87239,3966.064245,3282.323696,2728.49901,432.12,0.000882164,-0.016603026,0.027948741,0.182162238,0.29810866,-0.028962561
