Date,Open,High,Low,Close,Hurst
2015/10/27,5018.99,5040.08,5009.07,5030.15,0.435586979
2015/10/28,5040.38,5095.69,5019.6,5095.69,0.427274046
2015/10/29,5071.04,5084.63,5066.89,5074.27,0.429121133
2015/10/30,5079.76,5085.22,5053.75,5053.75,0.433496208
2015/11/2,5065.64,5130.51,5061.47,5127.15,0.442753747
2015/11/3,5114.31,5163.47,5109.68,5145.13,0.432604483
2015/11/4,5155.62,5162.57,5122.78,5142.48,0.429166973
2015/11/5,5144.15,5154.86,5098.49,5127.74,0.423851856
2015/11/6,5124.04,5147.12,5092.87,5147.12,0.43990156
2015/11/9,5128.94,5133.44,5066.1,5095.3,0.439384531
2015/11/10,5068.55,5086.89,5051.22,5083.24,0.436013778
2015/11/11,5098.12,5111.19,5066.68,5067.02,0.421055943
2015/11/12,5043.1,5062.49,5004.46,5005.08,0.426192388
2015/11/13,4980.86,4989.06,4925.35,4927.88,0.42145094
2015/11/16,4916.14,4984.91,4908.66,4984.62,0.424136816
2015/11/17,4991.71,5023.45,4975.74,4986.02,0.401589978
2015/11/18,5004.6,5078.8,5001.67,5075.2,0.394838378
2015/11/19,5078.68,5092.46,5067.27,5073.64,0.401466116
2015/11/20,5096.96,5112.46,5094.31,5104.92,0.410503707
2015/11/23,5106.72,5128.08,5084.85,5102.48,0.395774674
2015/11/24,5070.66,5110.75,5050.14,5102.81,0.394858535
2015/11/25,5106.87,5124.09,5101.18,5116.14,0.388427669
2015/11/27,5121.93,5134.35,5108.51,5127.52,0.393884757
2015/11/30,5139.58,5141.36,5098.7,5108.67,0.394834527
2015/12/1,5129.64,5156.31,5120.17,5156.31,0.40162489
2015/12/2,5158.82,5176.77,5117.15,5123.22,0.399399346
2015/12/3,5143.15,5144.6,5011.72,5037.53,0.396255977
2015/12/4,5050.93,5147,5043.49,5142.27,0.398341012
2015/12/7,5139.46,5139.78,5082.23,5101.81,0.411837127
2015/12/8,5050.52,5111.73,5045.73,5098.24,0.401770158
2015/12/9,5077.21,5106.36,5000.12,5022.86,0.391331366
2015/12/10,5026.3,5075.65,5019.31,5045.17,0.379039186
2015/12/11,4979.77,4996.19,4928.67,4933.47,0.391065356
2015/12/14,4932.61,4953.6,4871.59,4952.23,0.399031713
2015/12/15,4991.21,5026.54,4986.99,4995.36,0.404779952
2015/12/16,5033.48,5078.99,4992.63,5071.13,0.395465254
2015/12/17,5087.17,5088.57,5002.55,5002.55,0.403833403
2015/12/18,4982.58,4996.49,4921.33,4923.08,0.405690698
2015/12/21,4957.53,4968.92,4928.93,4968.92,0.414056179
2015/12/22,4988.68,5007.77,4964.08,5001.11,0.423216701
2015/12/23,5025.55,5046.09,5020.44,5045.93,0.428882606
2015/12/24,5046.19,5063.28,5043.65,5048.49,0.422353726
2015/12/28,5032.29,5041.27,4999.07,5040.98,0.424502337
2015/12/29,5066.52,5116.99,5065.89,5107.94,0.428682207
2015/12/30,5101.18,5102.35,5065.69,5065.85,0.433654705
2015/12/31,5047.04,5058.06,5007.01,5007.41,0.420395796
2016/1/4,4897.65,4903.09,4846.98,4903.09,0.399415442
2016/1/5,4917.84,4926.73,4872.74,4891.43,0.395419397
2016/1/6,4813.76,4866.04,4804.69,4835.77,0.399428946
2016/1/7,4736.4,4788.02,4688.17,4689.43,0.397319825
2016/1/8,4722.02,4742.57,4637.85,4643.63,0.400827489
2016/1/11,4673.44,4683.02,4573.77,4637.99,0.403259789
2016/1/12,4681.54,4714.8,4618.03,4685.92,0.420898718
2016/1/13,4706.02,4713.98,4517.56,4526.06,0.433920311
2016/1/14,4545.37,4650.55,4470.59,4615,0.442444599
2016/1/15,4464.37,4520.45,4419.41,4488.42,0.441593688
2016/1/19,4548.05,4550.57,4430.77,4476.95,0.449507326
2016/1/20,4405.22,4514.92,4313.39,4471.69,0.459561213
2016/1/21,4480.7,4537.15,4432.02,4472.06,0.465237602
2016/1/22,4557.39,4591.18,4540.27,4591.18,0.447872758
2016/1/25,4574.6,4590.44,4514.78,4518.49,0.430748792
2016/1/26,4537.04,4583.21,4503.52,4567.67,0.422235344
2016/1/27,4548.87,4568.85,4450.83,4468.17,0.426489209
2016/1/28,4533.81,4533.81,4447.5,4506.68,0.433354973
2016/1/29,4512.09,4613.95,4511.3,4613.95,0.444929666
2016/2/1,4587.59,4636.93,4565.38,4620.37,0.447113875
2016/2/2,4588.69,4589.9,4503.12,4516.95,0.450480369
2016/2/3,4543.82,4547.32,4424.47,4504.24,0.444604337
2016/2/4,4492.48,4545.52,4463.99,4509.56,0.452230185
2016/2/5,4491.48,4493.19,4350.38,4363.14,0.446895782
2016/2/8,4288.02,4301.53,4212.81,4283.75,0.426981161
2016/2/9,4224.87,4329.61,4222.48,4268.76,0.410805071
2016/2/10,4318.28,4369.62,4280.73,4283.59,0.416242653
2016/2/11,4218.81,4293.22,4209.76,4266.84,0.423337251
2016/2/12,4307.29,4340.13,4274.15,4337.51,0.416292893
2016/2/16,4397.95,4435.95,4376.52,4435.95,0.396165451
2016/2/17,4471.66,4540.78,4463.51,4534.06,0.401795061
